species,genus,y,x
Marmota,baibacina,41.88425,78.561931
Marmota,baibacina,55.414467,83.718258
Marmota,baibacina,53.535784,85.398612
Marmota,baibacina,54.370387,83.959783
Marmota,baibacina,54.732276,83.354698
Marmota,baibacina,43.051983,76.972717
Marmota,baibacina,43.057517,76.992545
Marmota,baibacina,43.055781,76.961223
Marmota,baibacina,49.817433,89.433161
Marmota,baibacina,49.830459,89.492209
Marmota,baibacina,50.345298,87.219638
Marmota,baibacina,43.051834,76.99116
Marmota,baibacina,49.646208,88.058972
Marmota,baibacina,50.020083,88.505794
Marmota,baibacina,43.056087,76.978634
Marmota,baibacina,47.15,90.78
Marmota,baibacina,54.649322,83.903161
Marmota,baibacina,47.148,90.7796
Marmota,baibacina,41.652393,75.083313
Marmota,baibacina,53.368144,84.630194
Marmota,baibacina,46.606877,88.151873
Marmota,baibacina,43.107224,77.910632
Marmota,baibacina,43.044111,76.942749
Marmota,baibacina,55.144756,83.600764
Marmota,baibacina,42.256,78.385
Marmota,baibacina,42.251,78.393
Marmota,baibacina,55.230608,83.939479
Marmota,baibacina,43.127048,76.945496
Marmota,baibacina,42.325,78.492
Marmota,baibacina,49.41014,89.08736
Marmota,baibacina,48.15936,89.01305
Marmota,baibacina,47.327906,81.312068
Marmota,baibacina,42.08,78.04
Marmota,baibacina,48.00376415,90.97210725
Marmota,baibacina,48.21667,91.88333
Marmota,baibacina,50.360928,89.855485
Marmota,baibacina,52.55,85.23333
Marmota,baibacina,42,80
Marmota,baibacina,39.599999,74.833336
Marmota,caudata,39.62956,72.268556
Marmota,caudata,37.705544,73.014786
Marmota,caudata,34.424751,74.942762
Marmota,caudata,37.828695,73.635066
Marmota,caudata,38.566633,73.558154
Marmota,caudata,37.682912,73.212129
Marmota,caudata,38.570928,73.552318
Marmota,caudata,37.828695,73.616526
Marmota,caudata,37.53417,72.904675
Marmota,caudata,37.850103,73.69695
Marmota,caudata,38.556098,73.746357
Marmota,caudata,38.97,67.41
Marmota,caudata,39.083,68.83
Marmota,caudata,39.454,72.928
Marmota,caudata,37.563346,74.156892
