Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
371030,Krysuvik-Trolladyngja,22399,Confirmed Eruption,,,,,2021,,3,,19,,Historical Observations,>,2021,,8,,19,,63.917,-22.067
373030,Bardarbunga,20955,Confirmed Eruption,Holuhraun,0,,,2014,,8,,29,,Historical Observations,,2015,,2,,27,,64.633,-17.516
373010,Grimsvotn,20767,Confirmed Eruption,SW part of the caldera,4,,,2011,,5,,21,,Historical Observations,,2011,,5,,28,,64.416,-17.316
372020,Eyjafjallajokull,12563,Confirmed Eruption,ENE flank (Fimmvörduháls) and summit,4,,,2010,,3,,20,,Historical Observations,,2010,,6,,23,,63.633,-19.633
373030,Bardarbunga,12896,Uncertain Eruption,Loki-Fögrufjöll (West Loki cauldron),0,,,2008,,8,,16,15,,,,,,,,,64.633,-17.516
373030,Bardarbunga,12895,Uncertain Eruption,Loki-Fögrufjöll (East Loki cauldron),0,,,2006,,4,,16,15,,,,,,,,,64.633,-17.516
373030,Bardarbunga,12894,Uncertain Eruption,Loki-Fögrufjöll (West Loki cauldron),0,,,2005,,7,,16,15,,,2005,,8,,16,15,64.633,-17.516
373010,Grimsvotn,12842,Confirmed Eruption,SW and east sides of caldera,3,,,2004,,11,,1,,Historical Observations,,2004,,11,,4,,64.416,-17.316
373030,Bardarbunga,12893,Uncertain Eruption,Loki-Fögrufjöll (W and E Loki cauldrons),0,,,2002,,7,,16,15,,,2002,,9,,16,15,64.633,-17.516
373030,Bardarbunga,12892,Uncertain Eruption,Loki-Fögrufjöll (W and E Loki cauldrons),0,,,2000,,8,,16,15,,,,,,,,,64.633,-17.516
372070,Hekla,12754,Confirmed Eruption,SW flank,3,,,2000,,2,,26,,Historical Observations,,2000,,3,,8,,63.983,-19.666
372030,Katla,12679,Uncertain Eruption,"W, S, and E margins of caldera",0,,,1999,,7,?,17,,,,1999,,8,,15,5,63.633,-19.083
373010,Grimsvotn,12841,Confirmed Eruption,South caldera wall,3,,,1998,,12,,18,,Historical Observations,,1998,,12,,28,,64.416,-17.316
373030,Bardarbunga,12891,Uncertain Eruption,Loki-Fögrufjöll (East Loki cauldron),0,,,1997,,8,,16,15,,,,,,,,,64.633,-17.516
373010,Grimsvotn,12840,Confirmed Eruption,Gjálp (fissure N of caldera rim),3,?,,1996,,9,,30,,Historical Observations,,1996,,11,,6,,64.416,-17.316
373030,Bardarbunga,12890,Uncertain Eruption,Loki-Fögrufjöll (West Loki cauldron),0,,,1996,,8,,16,15,,,,,,,,,64.633,-17.516
