Volcano Name,Area of Activity,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude
Kerinci,,,2021,5,31,Historical Observations,2021,6,13,-1.697,101.264
Dieng Volcanic Complex,,,2021,4,29,Historical Observations,2021,4,29,-7.2,109.879
Tengger Caldera,Bromo,,2021,4,15,Historical Observations,2021,6,9,-7.942,112.95
Raung,,,2021,1,21,Historical Observations,2021,6,24,-8.119,114.056
Merapi,,1,2020,12,31,Historical Observations,2021,6,24,-7.54,110.446
Tengger Caldera,,1,2020,12,26,Historical Observations,2020,12,28,-7.942,112.95
Lewotolok,,2,2020,11,27,Historical Observations,2021,6,24,-8.274,123.508
Sinabung,,3,2020,8,8,Historical Observations,2021,6,13,3.17,98.392
Raung,,1,2020,7,16,Historical Observations,2020,10,3,-8.119,114.056
Soputan,,2,2020,3,23,Historical Observations,2020,4,2,1.112,124.737
Tangkuban Parahu,,1,2019,7,26,Historical Observations,2019,9,17,-6.77,107.6
Tengger Caldera,Bromo,2,2019,2,18,Historical Observations,2019,7,28,-7.942,112.95
Sinabung,,4,2019,2,6,Historical Observations,2019,6,9,3.17,98.392
Karangetang,,2,2018,11,25,Historical Observations,2021,6,2,2.781,125.407
Gamalama,,1,2018,10,4,Historical Observations,2018,10,6,0.8,127.33
Soputan,,3,2018,10,2,Historical Observations,2018,12,16,1.112,124.737
Krakatau,,3,2018,6,18,Historical Observations,2020,4,17,-6.102,105.423
Merapi,,3,2018,5,11,Historical Observations,2020,6,21,-7.54,110.446
Marapi,Verbeek Crater,2,2018,4,27,Historical Observations,2018,5,2,-0.38,100.474
Kerinci,,1,2018,4,21,Historical Observations,2020,10,17,-1.697,101.264
Dieng Volcanic Complex,Sileri Crater,1,2018,4,1,Historical Observations,2018,4,1,-7.2,109.879
Karangetang,,1,2018,2,2,Historical Observations,2018,2,2,2.781,125.407
Agung,Summit crater,3,2017,11,21,Historical Observations,2019,6,13,-8.343,115.508
Dempo,,1,2017,11,9,Historical Observations,2017,11,9,-4.016,103.121
Kerinci,,1,2017,8,13,Historical Observations,2017,8,13,-1.697,101.264
